repo_full_name,login,degree_centrality,betweenness_centrality,classification,num_collaborators
DemocracyClub/UK-Polling-Stations,polling-bot-4000,0.4,0.0,periphery,2
DemocracyClub/UK-Polling-Stations,awdem,0.6,0.6,core,3
DemocracyClub/UK-Polling-Stations,chris48s,0.4,0.4,periphery,2
DemocracyClub/UK-Polling-Stations,symroe,0.2,0.0,periphery,1
DemocracyClub/UK-Polling-Stations,GeoWill,0.4,0.6,periphery,2
DemocracyClub/UK-Polling-Stations,blacktyger,0.4,0.0,periphery,2
DemocracyClub/WhoCanIVoteFor,chris48s,0.8,0.4,core,4
DemocracyClub/WhoCanIVoteFor,GeoWill,0.8,0.15,core,4
DemocracyClub/WhoCanIVoteFor,awdem,0.8,0.15,core,4
DemocracyClub/WhoCanIVoteFor,symroe,0.6,0.0,periphery,3
DemocracyClub/WhoCanIVoteFor,jargonautical,0.2,0.0,periphery,1
DemocracyClub/WhoCanIVoteFor,pmk01,0.4,0.0,periphery,2
fvialibre/edia,Aplietexe,1.0,0.0,periphery,1
fvialibre/edia,guidoivetta,1.0,0.0,periphery,1
CodeForAfrica/PromiseTracker,kelvinkipruto,0.5,0.2857,core,4
CodeForAfrica/PromiseTracker,chatgpt-codex-connector[bot],0.25,0.0,periphery,2
CodeForAfrica/PromiseTracker,kilemensi,0.25,0.1429,periphery,2
CodeForAfrica/PromiseTracker,github-advanced-security[bot],0.125,0.0,periphery,1
CodeForAfrica/PromiseTracker,koechkevin,0.25,0.0,periphery,2
CodeForAfrica/PromiseTracker,esirK,0.125,0.0,periphery,1
CodeForAfrica/PromiseTracker,gertie-sheshe,0.25,0.0357,periphery,2
CodeForAfrica/PromiseTracker,KobbyMmo,0.125,0.0,periphery,1
CodeForAfrica/PromiseTracker,KhadijaMahanga,0.125,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,kilemensi,1.0,0.7143,core,7
CodeForAfrica/Dominion.AFRICA,thepsalmist,0.1429,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,VinneyJ,0.1429,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,esirK,0.1429,0.0,periphery,1
CodeForAfrica/Dominion.AFRICA,KhadijaMahanga,0.5714,0.0,periphery,4
CodeForAfrica/Dominion.AFRICA,karimkawambwa,0.5714,0.0,periphery,4
CodeForAfrica/Dominion.AFRICA,nerdlet,0.5714,0.0,periphery,4
CodeForAfrica/Dominion.AFRICA,DavidLemayian,0.5714,0.0,periphery,4
CodeForAfrica/GenderGap.AFRICA,elric-wamugu,0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,github-advanced-security[bot],0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,Kinjuriu,0.375,0.1786,core,3
CodeForAfrica/GenderGap.AFRICA,AbdullahWins,0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,kilemensi,0.375,0.1786,core,3
CodeForAfrica/GenderGap.AFRICA,nerdlet,0.375,0.2857,core,3
CodeForAfrica/GenderGap.AFRICA,robinkiplangat,0.125,0.0,periphery,1
CodeForAfrica/GenderGap.AFRICA,DavidLemayian,0.25,0.1786,core,2
CodeForAfrica/GenderGap.AFRICA,mtuchi,0.125,0.0,periphery,1
CodeForAfrica/openAFRICA,thepsalmist,0.4444,0.1389,core,4
CodeForAfrica/openAFRICA,kilemensi,0.2222,0.0,core,2
CodeForAfrica/openAFRICA,koechkevin,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,VinneyJ,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,esirK,0.2222,0.0,core,2
CodeForAfrica/openAFRICA,DavidLemayian,0.3333,0.1389,core,3
CodeForAfrica/openAFRICA,phillipahereza,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,WNjihia,0.2222,0.0833,core,2
CodeForAfrica/openAFRICA,dmkitui,0.1111,0.0,periphery,1
CodeForAfrica/openAFRICA,muchai-mercy,0.1111,0.0,periphery,1
CodeForAfrica/outbreak.AFRICA,kilemensi,1.0,0.9,core,5
CodeForAfrica/outbreak.AFRICA,esirK,0.2,0.0,periphery,1
CodeForAfrica/outbreak.AFRICA,KhadijaMahanga,0.4,0.0,core,2
CodeForAfrica/outbreak.AFRICA,KobbyMmo,0.2,0.0,periphery,1
CodeForAfrica/outbreak.AFRICA,gertie-sheshe,0.2,0.0,periphery,1
CodeForAfrica/outbreak.AFRICA,nerdlet,0.4,0.0,core,2
CodeForAfrica/ui,kilemensi,1.0,0.3,core,5
CodeForAfrica/ui,chatgpt-codex-connector[bot],0.6,0.0,periphery,3
CodeForAfrica/ui,koechkevin,0.8,0.1,core,4
CodeForAfrica/ui,kelvinkipruto,0.8,0.1,core,4
CodeForAfrica/ui,github-advanced-security[bot],0.4,0.0,periphery,2
CodeForAfrica/ui,maquchizi,0.4,0.0,periphery,2
CodeForAfrica/sensors.AFRICA,gideonmaina,0.1333,0.0095,periphery,2
CodeForAfrica/sensors.AFRICA,usmanbiu,0.1333,0.0524,periphery,2
CodeForAfrica/sensors.AFRICA,kilemensi,0.8,0.8381,core,12
CodeForAfrica/sensors.AFRICA,thepsalmist,0.2667,0.1952,core,4
CodeForAfrica/sensors.AFRICA,VinneyJ,0.0667,0.0,periphery,1
CodeForAfrica/sensors.AFRICA,m453h,0.0667,0.0,periphery,1
CodeForAfrica/sensors.AFRICA,dependabot[bot],0.0667,0.0,periphery,1
CodeForAfrica/sensors.AFRICA,kelvinkipruto,0.1333,0.0,periphery,2
CodeForAfrica/sensors.AFRICA,koechkevin,0.0667,0.0,periphery,1
CodeForAfrica/sensors.AFRICA,esirK,0.0667,0.0,periphery,1
CodeForAfrica/sensors.AFRICA,nerdlet,0.3333,0.1429,core,5
CodeForAfrica/sensors.AFRICA,KobbyMmo,0.1333,0.0,periphery,2
CodeForAfrica/sensors.AFRICA,chegejames,0.2,0.0,core,3
CodeForAfrica/sensors.AFRICA,karimkawambwa,0.2,0.0,core,3
CodeForAfrica/sensors.AFRICA,mtuchi,0.0667,0.0,periphery,1
CodeForAfrica/sensors.AFRICA,DavidLemayian,0.0667,0.0,periphery,1
codeforamerica/form-flow,dependabot[bot],0.25,0.0,periphery,1
codeforamerica/form-flow,cram-cfa,0.5,0.1667,core,2
codeforamerica/form-flow,ShaynaCummings,0.25,0.0,periphery,1
